eid,start_date,end_date,city,place_visit_date,place,people,action,emotion
e2,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/13,Liberty Bell,"Carter, Kayden",took a group photo,impressed
e3,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/14,Philadelphia Museum of Art,"Carter, Kayden",recorded some videos,happy
e4,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/15,Ipanema,"Carter, Kayden",bought some souvenirs,happy
e5,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/16,Carnaval,"Carter, Kayden",took a selfie,impressed
e6,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/17,Independence Hall,"Carter, Kayden",recorded some videos,happy
e3379,2011/02/24,2011/03/06,"Bangkok, Thailand",2011/02/25,Wat Suthat,Andrew,took a group photo,special
e3380,2011/02/24,2011/03/06,"Bangkok, Thailand",2011/02/26,Grand Palace,Andrew,took a group photo,special
e3381,2011/02/24,2011/03/06,"Bangkok, Thailand",2011/02/27,Wat Traimit,Andrew,bought some souvenirs,impressed
e3382,2011/02/24,2011/03/06,"Bangkok, Thailand",2011/02/28,Wat Arun,Andrew,took a selfie,special
e3383,2011/02/24,2011/03/06,"Bangkok, Thailand",2011/03/01,National Museum & Wang Na Palace,Andrew,took a selfie,special
e6765,2012/03/07,2012/03/12,"Bangkok, Thailand",2012/03/08,Grand Palace,"Benjamin, Avery, Willow",bought some souvenirs,happy
e6766,2012/03/07,2012/03/12,"Bangkok, Thailand",2012/03/09,Wat Traimit,"Benjamin, Avery, Willow",took a selfie,impressed
e6767,2012/03/07,2012/03/12,"Bangkok, Thailand",2012/03/10,Wat Arun,"Benjamin, Avery, Willow",bought some souvenirs,happy
e6768,2012/03/07,2012/03/12,"Bangkok, Thailand",2012/03/11,Wat Suthat,"Benjamin, Avery, Willow",took a group photo,impressed
e6769,2012/03/07,2012/03/12,"Bangkok, Thailand",2012/03/12,National Museum & Wang Na Palace,"Benjamin, Avery, Willow",took a selfie,impressed
e10176,2013/05/03,2013/05/18,"Seoul, South Korea",2013/05/04,Lotte World Tower,"Avery, Jackson",bought some souvenirs,special
e10177,2013/05/03,2013/05/18,"Seoul, South Korea",2013/05/05,N Seoul Tower,"Avery, Jackson",took a selfie,impressed
e10178,2013/05/03,2013/05/18,"Seoul, South Korea",2013/05/06,National Museum Of Korea,"Avery, Jackson",took a group photo,impressed
e13494,2014/05/21,2014/05/24,"Los Angeles, US",2014/05/22,Hollywood Walk of Fame,"Willow, Jackson, Avery",recorded some videos,happy
e13495,2014/05/21,2014/05/24,"Los Angeles, US",2014/05/23,Santa Monica Pier,"Willow, Jackson, Avery",took a group photo,special
e13496,2014/05/21,2014/05/24,"Los Angeles, US",2014/05/24,Griffith Park and Observatory,"Willow, Jackson, Avery",recorded some videos,special
e13497,2014/05/21,2014/05/24,"Los Angeles, US",2014/05/25,Getty Center,"Willow, Jackson, Avery",took a selfie,impressed
e13498,2014/05/21,2014/05/24,"Los Angeles, US",2014/05/26,Universal Studios Hollywood,"Willow, Jackson, Avery",took a group photo,happy
e16892,2015/01/15,2015/01/26,"Rio, Brazil",2015/01/16,Ipanema,"Andrew, Carter",took a selfie,special
e16893,2015/01/15,2015/01/26,"Rio, Brazil",2015/01/17,Copacabana,"Andrew, Carter",took a selfie,impressed
e16894,2015/01/15,2015/01/26,"Rio, Brazil",2015/01/18,Sugarloaf,"Andrew, Carter",recorded some videos,special
e16895,2015/01/15,2015/01/26,"Rio, Brazil",2015/01/19,Cristo Redentor,"Andrew, Carter",took a group photo,happy
e16896,2015/01/15,2015/01/26,"Rio, Brazil",2015/01/20,Carnaval,"Andrew, Carter",bought some souvenirs,happy
e20244,2016/03/27,2016/04/02,"London, UK",2016/03/28,London Eye,Piper,bought some souvenirs,impressed
e20245,2016/03/27,2016/04/02,"London, UK",2016/03/29,Westminster,Piper,took a group photo,impressed
